	price	vehicleType	yearOfRegistration	gearbox	powerPS	model	kilometer	monthOfRegistration	fuelType	brand	notRepairedDamage
668	5000	kombi	2008	automatic	136	focus	150000	6	diesel	ford	No
669	21000	coupe	2007	manual	409	3er	150000	4	petrol	bmw	No
670	7500	bus	2006	manual	95	b_klasse	90000	4	petrol	mercedes_benz	No
671	14750	kombi	2009	manual	160	a4	90000	2	petrol	audi	No
672	2200	limousine	1995	automatic	299	not-declared	150000	5	not-declared	audi	Yes
673	10100	not-declared	2009	automatic	143	1er	150000	0	not-declared	bmw	No
674	1750	not-declared	2016	manual	116	galaxy	150000	3	diesel	ford	Yes
675	2250	kombi	2001	automatic	147	vectra	150000	12	petrol	opel	No
676	15500	kombi	2012	manual	120	exeo	40000	12	diesel	seat	No
677	1900	limousine	2000	manual	125	not-declared	150000	5	petrol	mitsubishi	No
679	2300	coupe	1999	manual	170	3er	150000	9	petrol	bmw	No
681	12999	limousine	2002	automatic	306	s_klasse	90000	12	petrol	mercedes_benz	No
682	24800	cabrio	1996	automatic	231	sl	50000	8	petrol	mercedes_benz	No
683	7800	bus	2006	automatic	131	transporter	150000	4	diesel	volkswagen	No
685	6200	kleinwagen	2009	manual	95	2_reihe	100000	4	petrol	peugeot	No
686	5300	kleinwagen	2009	manual	68	2_reihe	100000	9	diesel	peugeot	No
687	1849	kombi	1997	manual	193	a4	150000	1	petrol	audi	not-declared
688	1800	kleinwagen	1999	manual	58	clio	90000	12	petrol	renault	No
689	2100	kleinwagen	2005	manual	64	polo	150000	7	petrol	volkswagen	No
690	9900	suv	2000	automatic	250	not-declared	150000	4	lpg	sonstige_autos	No
691	1700	kombi	1999	manual	193	3er	150000	5	petrol	bmw	No
693	800	limousine	1996	manual	122	c_klasse	150000	5	petrol	mercedes_benz	Yes
694	500	bus	2001	automatic	188	andere	150000	0	petrol	chevrolet	not-declared
695	11850	limousine	2011	manual	95	a_klasse	60000	6	petrol	mercedes_benz	No
696	890	kombi	2007	manual	75	logan	150000	0	petrol	dacia	Yes
698	5900	kombi	2004	manual	150	not-declared	150000	2	diesel	mercedes_benz	No
701	1299	limousine	1999	automatic	102	a_klasse	150000	7	petrol	mercedes_benz	not-declared
702	750	kombi	1998	automatic	193	5er	150000	6	petrol	bmw	No
703	4500	bus	2004	manual	105	touran	150000	4	diesel	volkswagen	No
704	4000	suv	1999	manual	120	andere	150000	2	petrol	nissan	No
705	950	kleinwagen	1999	manual	60	polo	150000	2	petrol	volkswagen	No
707	4200	kleinwagen	2003	manual	90	one	150000	0	petrol	mini	not-declared
708	5950	limousine	2003	manual	131	ibiza	100000	3	diesel	seat	No
709	2650	limousine	2006	manual	105	golf	150000	6	diesel	volkswagen	No
710	9500	kombi	2005	manual	265	a4	150000	2	diesel	audi	No
711	9250	kleinwagen	2012	manual	75	one	40000	11	petrol	mini	No
712	850	kombi	1996	manual	116	passat	150000	10	petrol	volkswagen	No
713	2990	limousine	2002	automatic	116	e_klasse	30000	2	diesel	mercedes_benz	No
714	16000	limousine	2010	manual	170	c_klasse	90000	11	diesel	mercedes_benz	No
715	499	kleinwagen	1992	manual	54	golf	125000	4	petrol	volkswagen	Yes
716	2500	limousine	1999	manual	170	5er	150000	9	petrol	bmw	No
717	3499	limousine	2004	manual	75	golf	150000	11	petrol	volkswagen	No
718	5500	kleinwagen	2007	manual	75	not-declared	100000	10	petrol	renault	not-declared
720	1699	limousine	2003	automatic	102	a_klasse	150000	6	petrol	mercedes_benz	No
721	2400	kleinwagen	2006	manual	75	clio	150000	1	petrol	renault	No
722	2999	limousine	2000	automatic	122	c_klasse	150000	10	petrol	mercedes_benz	No
723	13800	limousine	2005	automatic	333	5er	150000	8	petrol	bmw	No
725	6200	kleinwagen	2009	not-declared	68	andere	30000	0	not-declared	toyota	No
726	3450	kleinwagen	2007	manual	88	fiesta	100000	3	petrol	ford	No
727	3500	not-declared	2005	not-declared	125	zafira	30000	0	diesel	opel	not-declared
728	7500	coupe	2013	automatic	71	fortwo	40000	2	petrol	smart	No
729	6999	limousine	2010	automatic	186	not-declared	125000	4	petrol	sonstige_autos	No
730	11000	kombi	2012	manual	105	octavia	80000	3	diesel	skoda	No
731	2100	kleinwagen	2004	manual	65	micra	150000	1	petrol	nissan	No
732	3999	kombi	2002	manual	131	passat	150000	3	diesel	volkswagen	No
733	13900	cabrio	2008	manual	150	eos	80000	4	petrol	volkswagen	No
734	550	coupe	1995	manual	105	3er	150000	11	petrol	bmw	No
738	3200	kleinwagen	2000	manual	75	golf	125000	4	petrol	volkswagen	No
739	11500	limousine	2006	automatic	129	1er	90000	3	petrol	bmw	not-declared
740	11540	coupe	2010	manual	122	scirocco	80000	6	petrol	volkswagen	No
741	13199	cabrio	2012	manual	120	2_reihe	30000	5	petrol	peugeot	No
742	12790	cabrio	2001	automatic	163	clk	40000	6	petrol	mercedes_benz	No
743	600	limousine	1995	manual	122	c_klasse	150000	0	petrol	mercedes_benz	No
744	2500	kombi	2001	manual	125	mondeo	150000	4	petrol	ford	No
745	13750	kombi	2015	manual	86	golf	20000	4	petrol	volkswagen	No
746	8200	kleinwagen	2013	manual	75	corsa	80000	3	diesel	opel	No
747	3000	bus	2004	manual	110	c_max	150000	10	diesel	ford	No
749	21999	limousine	2013	automatic	170	c_klasse	100000	2	diesel	mercedes_benz	No
750	24999	kombi	2011	automatic	239	a6	80000	2	diesel	audi	No
752	2350	kombi	1999	manual	150	a4	150000	12	petrol	audi	No
754	28300	bus	2012	manual	114	transporter	40000	8	diesel	volkswagen	No
755	14900	kombi	2012	manual	105	golf	50000	2	diesel	volkswagen	No
756	12800	limousine	2010	manual	140	a3	80000	1	diesel	audi	No
757	1800	kleinwagen	2004	manual	63	getz	125000	11	petrol	hyundai	No
759	20200	kombi	2013	automatic	200	mondeo	70000	0	diesel	ford	not-declared
760	3100	limousine	2004	manual	101	polo	150000	8	not-declared	volkswagen	No
761	5500	limousine	2003	automatic	163	a4	150000	11	petrol	audi	No
762	5000	limousine	2006	manual	185	159	125000	12	not-declared	alfa_romeo	No
764	480	kleinwagen	2001	manual	75	andere	150000	12	petrol	mazda	not-declared
765	1800	limousine	1994	manual	102	3er	150000	10	petrol	bmw	No
766	350	limousine	1999	manual	120	andere	125000	7	not-declared	hyundai	not-declared
767	10490	kleinwagen	2013	manual	80	fiesta	30000	3	petrol	ford	No
769	3800	bus	2000	manual	122	vito	150000	5	diesel	mercedes_benz	Yes
770	1290	bus	2001	manual	101	transit	5000	6	diesel	ford	not-declared
771	1200	limousine	1998	manual	101	golf	150000	7	petrol	volkswagen	No
772	10999	kleinwagen	2011	manual	117	juke	60000	3	petrol	nissan	No
773	13900	kleinwagen	2013	manual	86	a1	30000	9	petrol	audi	No
774	2000	limousine	1997	manual	193	a4	150000	2	lpg	audi	No
775	5600	coupe	2000	manual	224	tt	150000	12	petrol	audi	No
776	18000	cabrio	2012	manual	122	golf	20000	6	petrol	volkswagen	No
777	5300	bus	2007	manual	95	b_klasse	150000	3	petrol	mercedes_benz	No
778	13500	limousine	2007	automatic	218	x_reihe	150000	12	diesel	bmw	No
779	2850	limousine	2000	manual	105	3er	150000	7	petrol	bmw	No
781	3850	cabrio	2001	manual	141	andere	150000	6	petrol	chrysler	No
782	800	kombi	1998	manual	100	vectra	150000	8	petrol	opel	not-declared
783	6490	limousine	2008	manual	120	3_reihe	70000	2	petrol	peugeot	No
784	4550	limousine	2003	manual	105	golf	150000	12	diesel	volkswagen	No
785	9000	not-declared	2016	manual	122	1er	80000	12	petrol	bmw	No
786	2250	kleinwagen	2004	manual	75	ibiza	150000	7	petrol	seat	No
787	350	kleinwagen	1997	manual	65	ka	150000	11	petrol	ford	not-declared
789	7490	kleinwagen	2009	manual	105	fabia	70000	10	diesel	skoda	No
790	3250	bus	2003	automatic	178	espace	150000	2	diesel	renault	No
791	2500	kombi	2000	automatic	90	passat	150000	3	diesel	volkswagen	No
792	699	limousine	1997	manual	116	vectra	150000	7	petrol	opel	No
793	450	not-declared	2005	manual	58	twingo	125000	0	petrol	renault	not-declared
794	47999	cabrio	2014	automatic	313	andere	60000	8	diesel	bmw	No
795	13500	bus	2010	manual	140	touran	70000	1	not-declared	volkswagen	not-declared
796	9500	bus	2005	manual	109	transporter	150000	6	diesel	volkswagen	No
797	1200	not-declared	2016	manual	115	not-declared	20000	0	petrol	nissan	No
798	12990	limousine	2007	automatic	190	a4	150000	12	diesel	audi	No
800	2750	suv	2003	manual	150	andere	150000	9	diesel	hyundai	No
801	15900	bus	2011	automatic	140	galaxy	125000	4	diesel	ford	No
802	13499	limousine	2010	manual	156	c_klasse	100000	10	petrol	mercedes_benz	No
803	1300	kombi	2001	manual	75	golf	125000	4	petrol	volkswagen	No
804	7990	kombi	2005	manual	200	a3	150000	8	petrol	audi	No
806	999	limousine	1995	manual	192	not-declared	150000	5	petrol	mercedes_benz	not-declared
807	950	coupe	1998	manual	75	astra	150000	7	petrol	opel	not-declared
808	4699	limousine	2006	manual	109	c4	100000	3	petrol	citroen	No
809	3500	kombi	2006	automatic	170	e_klasse	150000	9	diesel	mercedes_benz	No
810	3500	not-declared	2016	manual	64	polo	100000	9	petrol	volkswagen	No
811	5997	bus	2007	manual	102	golf	150000	8	petrol	volkswagen	No
812	2200	bus	2003	manual	113	scenic	150000	0	petrol	renault	No
813	999	limousine	1999	manual	75	golf	150000	4	petrol	volkswagen	Yes
814	1200	kombi	1997	manual	170	5er	150000	11	petrol	bmw	Yes
815	180	coupe	1997	manual	55	corsa	125000	4	petrol	opel	No
816	999	kombi	1999	manual	115	v40	150000	4	petrol	volvo	No
817	1200	kleinwagen	2000	manual	75	polo	150000	2	petrol	volkswagen	No
818	5500	bus	2006	manual	102	touran	150000	7	lpg	volkswagen	No
819	5250	cabrio	1996	automatic	193	3er	150000	4	petrol	bmw	No
820	9000	limousine	2008	manual	140	a3	150000	5	diesel	audi	No
821	4600	kleinwagen	2009	manual	75	clio	80000	10	petrol	renault	No
822	2500	kombi	1999	automatic	150	a6	150000	7	diesel	audi	No
823	200	kleinwagen	2005	automatic	58	twingo	150000	1	petrol	renault	Yes
825	2799	cabrio	1999	automatic	116	golf	150000	8	petrol	volkswagen	No
826	9600	kombi	2008	manual	177	5er	150000	7	diesel	bmw	No
827	1600	andere	2001	manual	101	zafira	150000	8	petrol	opel	No
828	5999	kleinwagen	2012	manual	69	punto	50000	3	petrol	fiat	No
830	2500	kleinwagen	2000	manual	150	golf	150000	3	petrol	volkswagen	not-declared
831	7600	coupe	2006	manual	122	c_klasse	125000	6	petrol	mercedes_benz	No
832	7499	cabrio	2001	manual	170	3er	150000	8	petrol	bmw	No
833	1100	limousine	1996	manual	75	golf	125000	11	petrol	volkswagen	No
834	890	limousine	1997	manual	136	andere	100000	3	petrol	renault	No
835	1099	limousine	1995	manual	75	golf	125000	8	petrol	volkswagen	No
836	3999	kombi	2006	manual	131	megane	150000	2	diesel	renault	No
839	2799	kleinwagen	2001	manual	75	polo	90000	12	petrol	volkswagen	No
840	1200	limousine	2000	manual	95	carisma	150000	5	petrol	mitsubishi	not-declared
841	3299	limousine	1989	automatic	132	e_klasse	150000	6	petrol	mercedes_benz	No
843	3999	kombi	1999	automatic	193	3er	150000	12	petrol	bmw	No
844	34900	limousine	1968	manual	220	escort	5000	11	petrol	ford	No
845	650	limousine	1997	manual	60	golf	150000	9	petrol	volkswagen	No
846	8800	kombi	2011	manual	165	zafira	30000	12	diesel	opel	No
847	2000	limousine	1998	automatic	204	e_klasse	150000	2	petrol	mercedes_benz	No
848	12800	kombi	1999	manual	265	andere	100000	3	petrol	audi	No
849	398	kombi	1996	manual	116	omega	150000	6	petrol	opel	not-declared
850	2700	limousine	2001	manual	170	3er	150000	3	petrol	bmw	No
851	6999	coupe	2001	manual	265	astra	150000	4	petrol	opel	No
853	2190	limousine	2003	manual	155	accord	150000	12	petrol	honda	Yes
854	7450	cabrio	2003	automatic	170	a4	150000	3	petrol	audi	No
855	1850	kleinwagen	2002	manual	75	corsa	100000	5	diesel	opel	No
856	9450	limousine	2005	manual	163	a4	125000	3	petrol	audi	No
857	2999	kombi	2007	manual	109	focus	150000	8	diesel	ford	No
859	4800	kleinwagen	2007	manual	80	polo	100000	6	petrol	volkswagen	No
860	1670	limousine	1999	manual	75	golf	150000	8	petrol	volkswagen	No
861	1800	kombi	2003	manual	110	corolla	150000	6	petrol	toyota	Yes
862	5299	kleinwagen	2005	manual	90	one	150000	5	petrol	mini	No
864	3750	limousine	1991	automatic	234	andere	150000	1	petrol	jaguar	No
866	4200	limousine	2000	manual	163	c_klasse	100000	6	petrol	mercedes_benz	No
867	2549	andere	1998	manual	150	golf	150000	7	petrol	volkswagen	not-declared
868	8380	kombi	2008	manual	150	octavia	150000	7	petrol	skoda	No
869	8000	suv	2007	manual	129	grand	150000	3	diesel	suzuki	No
870	2599	limousine	1998	manual	170	e_klasse	150000	3	petrol	mercedes_benz	No
871	600	not-declared	2000	manual	86	lanos	125000	0	petrol	daewoo	No
872	2650	kombi	2000	manual	110	octavia	150000	1	diesel	skoda	No
873	6800	limousine	2006	automatic	224	phaeton	150000	10	diesel	volkswagen	No
874	2410	kleinwagen	2004	manual	69	fiesta	150000	3	petrol	ford	No
875	14900	kombi	2009	automatic	170	c_klasse	150000	2	diesel	mercedes_benz	No
876	2100	kombi	2002	manual	122	vito	150000	4	diesel	mercedes_benz	No
877	300	kleinwagen	1996	manual	55	micra	150000	2	not-declared	nissan	not-declared
878	3500	cabrio	2005	manual	109	2_reihe	150000	5	petrol	peugeot	No
879	2250	kombi	2001	manual	158	4_reihe	150000	1	petrol	peugeot	No
881	10200	limousine	2006	manual	150	x_reihe	150000	4	diesel	bmw	No
882	2800	kleinwagen	2007	automatic	80	corsa	125000	7	petrol	opel	Yes
883	1500	limousine	2001	manual	90	civic	150000	6	petrol	honda	No
884	330	kleinwagen	1999	manual	60	polo	125000	6	petrol	volkswagen	Yes
885	550	limousine	1993	manual	122	c_klasse	150000	10	petrol	mercedes_benz	not-declared
886	1320	kombi	2002	manual	116	focus	150000	4	diesel	ford	No
887	7500	limousine	2008	automatic	143	1er	150000	10	diesel	bmw	No
888	7000	limousine	2004	automatic	150	golf	100000	6	petrol	volkswagen	No
889	899	limousine	2000	manual	60	ibiza	150000	7	petrol	seat	No
891	16500	bus	2012	automatic	179	transporter	150000	5	diesel	volkswagen	No
892	11200	kleinwagen	2014	manual	105	andere	30000	0	petrol	skoda	No
893	43900	cabrio	2014	automatic	265	boxster	10000	2	petrol	porsche	No
894	1000	coupe	1998	manual	102	3er	150000	0	petrol	bmw	not-declared
895	21500	coupe	2009	automatic	239	a5	150000	12	diesel	audi	No
896	250	limousine	1995	manual	75	cordoba	150000	8	petrol	seat	No
898	11500	limousine	2008	automatic	197	5er	150000	7	diesel	bmw	No
899	1499	kleinwagen	1999	automatic	90	clio	150000	6	petrol	renault	No
900	380	not-declared	2016	manual	54	not-declared	100000	0	petrol	skoda	Yes
901	14990	kombi	2013	manual	140	passat	90000	10	diesel	volkswagen	No
902	500	kombi	1999	manual	104	megane	150000	7	petrol	renault	No
903	5900	kombi	2004	automatic	218	5er	150000	10	diesel	bmw	No
904	5499	not-declared	2016	manual	150	3er	125000	4	not-declared	bmw	No
905	200	limousine	1995	manual	102	3er	150000	8	petrol	bmw	not-declared
906	2000	kleinwagen	2002	manual	68	fiesta	150000	12	diesel	ford	No
907	300	not-declared	2016	manual	140	not-declared	150000	0	petrol	bmw	not-declared
909	20500	limousine	2006	automatic	272	s_klasse	150000	1	petrol	mercedes_benz	No
910	12999	bus	2011	manual	105	golf	70000	10	diesel	volkswagen	No
911	7000	kombi	2007	manual	140	octavia	150000	9	diesel	skoda	No
912	5300	bus	2008	manual	177	verso	150000	1	diesel	toyota	No
915	7900	suv	2005	manual	150	rav	80000	3	petrol	toyota	No
916	2998	coupe	2000	manual	170	andere	150000	12	petrol	ford	No
917	800	limousine	1996	not-declared	150	c_klasse	150000	8	petrol	mercedes_benz	No
918	350	kleinwagen	1997	manual	81	3_reihe	150000	8	petrol	peugeot	Yes
920	4499	limousine	2004	automatic	122	e_klasse	150000	12	diesel	mercedes_benz	No
921	3900	cabrio	1998	manual	150	3er	150000	3	petrol	bmw	not-declared
922	25950	suv	2014	manual	163	kuga	30000	7	diesel	ford	No
923	5900	bus	1997	manual	102	transporter	150000	6	diesel	volkswagen	Yes
924	12900	kombi	2010	manual	102	caddy	70000	12	diesel	volkswagen	No
925	1199	kleinwagen	2000	manual	60	fiesta	125000	0	petrol	ford	No
926	14800	limousine	2012	manual	117	qashqai	70000	8	petrol	nissan	No
928	2499	kleinwagen	2006	manual	95	colt	150000	1	diesel	mitsubishi	No
929	1800	coupe	2001	manual	116	astra	125000	3	petrol	opel	No
931	2800	kleinwagen	2004	manual	69	fiesta	100000	5	petrol	ford	No
932	4200	kombi	2007	manual	105	golf	150000	11	diesel	volkswagen	No
933	5500	limousine	2006	manual	150	159	150000	11	diesel	alfa_romeo	No
934	850	kombi	2004	manual	130	mondeo	150000	12	diesel	ford	No
935	4100	kombi	2004	automatic	131	passat	150000	3	diesel	volkswagen	not-declared
936	5900	kleinwagen	2009	manual	92	swift	90000	6	petrol	suzuki	No
937	1600	kleinwagen	2001	manual	51	2_reihe	150000	0	diesel	peugeot	not-declared
938	9600	andere	2013	manual	122	andere	125000	1	diesel	peugeot	No
939	2799	limousine	2003	manual	135	scenic	5000	12	petrol	renault	No
940	7100	coupe	2008	manual	177	1er	150000	5	diesel	bmw	No
942	4500	limousine	2007	manual	163	3er	150000	7	diesel	bmw	not-declared
944	6800	bus	2011	manual	120	andere	150000	1	diesel	citroen	No
945	1450	not-declared	2016	manual	75	not-declared	150000	10	petrol	volkswagen	No
946	2300	kleinwagen	2006	manual	65	picanto	50000	12	petrol	kia	No
947	250	kleinwagen	1998	manual	60	not-declared	100000	0	not-declared	ford	not-declared
948	2500	kombi	2001	automatic	150	andere	150000	11	petrol	rover	Yes
949	1099	kleinwagen	2001	manual	80	punto	150000	4	diesel	fiat	not-declared
950	3999	kleinwagen	2009	manual	65	micra	40000	7	petrol	nissan	No
951	3500	limousine	1997	automatic	204	e_klasse	150000	10	petrol	mercedes_benz	No
952	44900	bus	2015	manual	140	transporter	10000	5	diesel	volkswagen	No
954	2600	bus	2005	manual	125	zafira	150000	5	petrol	opel	No
955	1950	bus	2002	manual	116	sharan	150000	10	diesel	volkswagen	No
956	10450	cabrio	2001	manual	220	boxster	150000	3	petrol	porsche	No
957	3100	andere	2001	manual	90	not-declared	70000	7	diesel	kia	No
958	14000	cabrio	2003	manual	71	andere	5000	8	petrol	smart	No
960	17000	limousine	2005	manual	231	5er	150000	10	diesel	bmw	No
961	11599	kombi	2010	manual	143	3er	150000	4	diesel	bmw	No
963	1690	kleinwagen	2002	manual	75	clio	125000	9	petrol	renault	No
964	30600	cabrio	2010	automatic	231	e_klasse	80000	5	diesel	mercedes_benz	No
965	1500	kombi	1999	manual	131	focus	150000	3	petrol	ford	No
967	5990	limousine	2007	automatic	95	a_klasse	150000	9	petrol	mercedes_benz	No
968	1300	kombi	1996	manual	75	golf	150000	12	not-declared	volkswagen	No
969	1000	bus	2000	manual	107	scenic	125000	6	petrol	renault	No
970	11900	limousine	2008	manual	170	c_klasse	125000	9	diesel	mercedes_benz	No
971	1400	limousine	2000	manual	105	3er	150000	3	petrol	bmw	No
973	2000	not-declared	2016	manual	59	polo	100000	0	petrol	volkswagen	Yes
975	4700	cabrio	1996	manual	117	z_reihe	150000	8	petrol	bmw	No
977	1100	bus	1999	manual	107	scenic	150000	5	petrol	renault	No
978	6990	limousine	2005	automatic	230	vectra	100000	12	petrol	opel	No
980	1400	kleinwagen	2002	manual	75	corsa	150000	8	petrol	opel	No
981	16700	kombi	2013	not-declared	140	superb	60000	6	diesel	skoda	No
982	2000	kleinwagen	1999	manual	90	civic	150000	0	not-declared	honda	No
983	3300	kombi	2004	manual	103	stilo	150000	9	petrol	fiat	No
984	1400	kombi	1999	manual	90	berlingo	150000	8	petrol	citroen	No
