	price	vehicleType	yearOfRegistration	gearbox	powerPS	model	kilometer	monthOfRegistration	fuelType	brand	notRepairedDamage
986	14000	kombi	2013	manual	99	i_reihe	30000	5	petrol	hyundai	not-declared
987	3800	kombi	2003	manual	129	avensis	150000	6	petrol	toyota	No
988	790	kleinwagen	1996	manual	102	3er	150000	5	petrol	bmw	No
989	1450	bus	2000	manual	82	vito	150000	6	diesel	mercedes_benz	No
990	5500	bus	2005	manual	150	zafira	150000	10	diesel	opel	No
993	3650	bus	2003	manual	116	alhambra	150000	12	diesel	seat	No
995	1999	cabrio	1996	manual	131	andere	125000	4	petrol	fiat	No
996	139997	coupe	2010	manual	435	911	20000	3	petrol	porsche	No
997	3999	cabrio	2007	automatic	84	fortwo	150000	9	petrol	smart	No
999	1500	coupe	2001	manual	120	civic	150000	3	petrol	honda	No
1000	5600	kombi	2007	manual	143	a3	150000	10	diesel	audi	Yes
1001	6500	bus	1995	manual	68	transporter	150000	3	not-declared	volkswagen	No
1002	9500	kombi	2008	automatic	136	c4	125000	5	diesel	citroen	No
1003	1799	kleinwagen	2003	manual	82	clio	150000	5	not-declared	renault	Yes
1004	26500	coupe	2010	automatic	306	1er	40000	1	petrol	bmw	No
1005	710	kleinwagen	1995	manual	54	twingo	150000	11	petrol	renault	No
1006	7890	limousine	2005	manual	200	a4	150000	4	petrol	audi	No
1007	250	not-declared	2000	not-declared	60	fiesta	60000	0	not-declared	ford	not-declared
1008	100	kombi	1995	manual	116	passat	150000	9	petrol	volkswagen	Yes
1009	1000	kombi	2000	automatic	170	e_klasse	150000	11	petrol	mercedes_benz	not-declared
1012	14500	cabrio	2007	manual	163	slk	60000	2	petrol	mercedes_benz	No
1014	13990	kombi	2007	manual	209	a6	100000	4	petrol	audi	No
1015	46950	suv	2013	automatic	250	grand	30000	10	diesel	jeep	No
1016	9490	limousine	2007	manual	136	a_klasse	20000	6	petrol	mercedes_benz	No
1017	6700	limousine	2006	automatic	163	3er	150000	5	diesel	bmw	No
1018	2990	limousine	2001	manual	101	passat	150000	11	diesel	volkswagen	No
1019	4500	limousine	2001	automatic	170	c_klasse	125000	7	petrol	mercedes_benz	No
1020	12000	limousine	2007	automatic	177	3er	125000	12	diesel	bmw	No
1021	16999	kleinwagen	2015	manual	102	one	10000	8	petrol	mini	No
1023	10100	suv	2008	automatic	239	touareg	100000	12	diesel	volkswagen	No
1025	13200	kombi	2010	manual	143	a4	150000	12	diesel	audi	not-declared
1026	2900	limousine	1971	automatic	90	andere	90000	6	petrol	opel	No
1027	1250	kombi	2001	manual	129	avensis	150000	9	petrol	toyota	not-declared
1028	200	kleinwagen	1997	manual	60	ka	150000	1	petrol	ford	No
1029	1990	kleinwagen	1996	manual	125	a3	150000	3	petrol	audi	No
1030	500	limousine	2010	manual	101	not-declared	70000	1	petrol	sonstige_autos	Yes
1032	13500	bus	2010	manual	193	b_klasse	60000	5	petrol	mercedes_benz	No
1034	8999	kombi	2009	automatic	105	octavia	150000	5	diesel	skoda	No
1035	14000	limousine	2010	manual	131	3er	150000	1	diesel	bmw	No
1036	1385	kombi	1997	manual	110	a4	150000	1	diesel	audi	No
1038	14430	kombi	2011	manual	146	c_klasse	150000	2	diesel	mercedes_benz	No
1039	650	kleinwagen	1996	manual	60	polo	150000	5	petrol	volkswagen	not-declared
1040	1000	kleinwagen	1999	manual	101	golf	150000	9	petrol	volkswagen	No
1041	3000	limousine	1997	manual	150	5er	150000	9	petrol	bmw	Yes
1042	3800	kombi	2005	automatic	150	vectra	150000	0	diesel	opel	No
1043	14900	kombi	2013	manual	105	octavia	40000	9	diesel	skoda	No
1045	3200	suv	1995	automatic	211	grand	150000	4	petrol	jeep	No
1048	5699	cabrio	1987	manual	90	golf	150000	8	petrol	volkswagen	No
1049	4950	kombi	1997	manual	150	5er	150000	7	petrol	bmw	No
1050	700	limousine	1996	manual	125	a4	150000	4	petrol	audi	No
1051	4590	limousine	2002	manual	150	golf	150000	12	petrol	volkswagen	No
1052	6900	cabrio	1999	manual	193	slk	150000	6	petrol	mercedes_benz	No
1053	4000	limousine	2007	automatic	116	a_klasse	150000	3	petrol	mercedes_benz	No
1054	10900	kleinwagen	2010	automatic	179	ibiza	80000	11	petrol	seat	No
1055	600	limousine	1996	manual	75	golf	150000	5	petrol	volkswagen	No
1056	300	limousine	1991	not-declared	75	golf	150000	7	petrol	volkswagen	not-declared
1057	1250	kleinwagen	2002	manual	67	fiesta	150000	8	diesel	ford	No
1058	750	kombi	2000	manual	60	polo	150000	10	petrol	volkswagen	Yes
1059	5800	cabrio	2005	manual	106	2_reihe	70000	10	petrol	peugeot	No
1060	750	kleinwagen	1990	manual	90	not-declared	150000	4	petrol	ford	Yes
1061	6000	coupe	2002	manual	170	clk	150000	4	petrol	mercedes_benz	No
1063	5990	kleinwagen	2009	manual	69	fabia	20000	3	petrol	skoda	No
1064	800	coupe	1999	manual	105	3er	150000	12	petrol	bmw	No
1065	4250	kombi	2005	manual	150	andere	150000	8	petrol	saab	No
1066	7000	not-declared	2016	manual	90	i_reihe	90000	4	not-declared	hyundai	No
1067	8500	not-declared	2016	manual	177	1er	150000	7	not-declared	bmw	No
1068	6500	andere	1973	not-declared	54	andere	50000	0	not-declared	volkswagen	No
1069	2850	limousine	2002	manual	180	c_klasse	150000	0	petrol	mercedes_benz	No
1071	9200	not-declared	2016	manual	75	golf	40000	8	petrol	volkswagen	No
1072	2800	kleinwagen	2006	manual	60	corsa	150000	11	petrol	opel	No
1073	1200	limousine	1996	manual	90	golf	150000	0	petrol	volkswagen	not-declared
1074	4750	cabrio	1991	manual	113	3er	150000	9	petrol	bmw	No
1075	28250	limousine	2013	manual	320	m_reihe	40000	2	petrol	bmw	No
1076	7400	kombi	2005	automatic	163	c_klasse	150000	10	petrol	mercedes_benz	No
1082	4250	kleinwagen	2006	manual	80	polo	125000	11	petrol	volkswagen	No
1083	4000	cabrio	2003	automatic	82	roadster	125000	8	petrol	smart	No
1084	4200	coupe	2006	manual	166	andere	150000	5	not-declared	alfa_romeo	not-declared
1085	12800	kleinwagen	2014	manual	101	fiesta	40000	11	petrol	ford	No
1086	18500	kombi	2013	manual	150	octavia	50000	11	diesel	skoda	No
1087	1600	limousine	1996	manual	101	a4	150000	2	not-declared	audi	not-declared
1088	300	kleinwagen	2000	manual	85	ypsilon	150000	12	petrol	lancia	No
1089	3280	limousine	2004	automatic	95	a_klasse	150000	2	diesel	mercedes_benz	No
1090	12950	kombi	2011	automatic	160	golf	125000	4	petrol	volkswagen	No
1091	2500	not-declared	2005	manual	80	astra	150000	2	diesel	opel	not-declared
1092	1450	kleinwagen	2002	manual	64	polo	80000	8	petrol	volkswagen	Yes
1094	3200	kleinwagen	2007	manual	75	2_reihe	125000	8	petrol	peugeot	No
1095	1200	bus	2000	manual	107	scenic	150000	8	petrol	renault	No
1096	4800	coupe	2001	manual	163	andere	100000	5	petrol	mercedes_benz	No
1097	11890	bus	2011	manual	116	c_max	150000	4	diesel	ford	not-declared
1098	2800	limousine	2002	manual	122	vectra	150000	2	petrol	opel	not-declared
1100	21800	coupe	2012	manual	160	tt	50000	10	petrol	audi	No
1101	1450	kombi	2000	manual	90	focus	150000	3	diesel	ford	No
1103	2200	limousine	1997	manual	125	passat	150000	3	petrol	volkswagen	No
1104	11000	cabrio	2002	manual	231	3er	150000	4	petrol	bmw	No
1105	2800	kleinwagen	2004	manual	75	golf	150000	10	petrol	volkswagen	Yes
1108	4200	suv	2003	automatic	276	andere	150000	10	lpg	chevrolet	Yes
1109	550	kombi	1998	manual	136	galant	150000	2	petrol	mitsubishi	No
1110	5000	kleinwagen	2007	not-declared	90	corsa	80000	5	petrol	opel	No
1112	1250	kleinwagen	2003	manual	52	matiz	125000	9	petrol	daewoo	No
1114	400	kleinwagen	2002	manual	86	justy	150000	12	petrol	subaru	not-declared
1116	15900	kombi	2008	automatic	235	5er	150000	5	diesel	bmw	No
1117	5400	not-declared	2016	automatic	140	leon	150000	12	diesel	seat	No
1118	4499	limousine	2009	manual	109	i_reihe	125000	4	petrol	hyundai	No
1119	17000	cabrio	2008	automatic	344	andere	125000	4	petrol	audi	No
1120	7350	cabrio	2003	manual	102	beetle	70000	12	petrol	volkswagen	No
1121	15900	kombi	2010	manual	177	5er	100000	5	diesel	bmw	No
1122	23000	limousine	2008	manual	349	impreza	40000	2	petrol	subaru	No
1123	5750	limousine	2007	automatic	100	andere	150000	9	hybrid	toyota	No
1126	1500	kleinwagen	2002	manual	58	corsa	125000	5	petrol	opel	No
1127	9300	bus	2011	manual	120	c4	80000	7	petrol	citroen	No
1128	29700	bus	2010	automatic	179	transporter	150000	11	diesel	volkswagen	No
1129	4300	coupe	1990	manual	170	90	150000	4	petrol	audi	not-declared
1130	3700	kombi	2009	manual	69	fabia	150000	1	petrol	skoda	No
1131	2699	cabrio	2005	manual	110	2_reihe	150000	5	petrol	peugeot	No
1134	3200	kleinwagen	2005	manual	75	polo	150000	10	petrol	volkswagen	No
1135	200	not-declared	2016	manual	75	vectra	150000	0	not-declared	opel	Yes
1136	2800	kleinwagen	2002	manual	102	a_klasse	150000	0	not-declared	mercedes_benz	not-declared
1137	31500	limousine	2011	automatic	299	5er	90000	9	diesel	bmw	No
1138	599	kombi	1998	manual	110	octavia	150000	10	diesel	skoda	Yes
1139	5500	kleinwagen	2008	manual	80	polo	125000	11	petrol	volkswagen	No
1140	6990	kombi	1983	manual	72	e_klasse	150000	6	diesel	mercedes_benz	No
1141	4900	cabrio	2006	manual	109	2_reihe	50000	2	petrol	peugeot	No
1142	400	limousine	2000	manual	102	sirion	150000	8	petrol	daihatsu	Yes
1143	4500	andere	2012	manual	90	combo	150000	1	diesel	opel	Yes
1145	1799	kombi	1999	manual	75	astra	150000	10	petrol	opel	No
1147	800	limousine	1999	manual	75	colt	150000	9	petrol	mitsubishi	No
1148	11500	bus	1985	automatic	160	not-declared	125000	10	petrol	sonstige_autos	not-declared
1149	3999	limousine	2005	manual	95	a_klasse	150000	5	diesel	mercedes_benz	No
1150	9100	kombi	2004	automatic	150	a3	150000	12	petrol	audi	No
1151	2000	limousine	1994	manual	218	7er	150000	1	petrol	bmw	No
1152	1400	limousine	2002	manual	75	andere	150000	4	petrol	opel	not-declared
1153	5900	kombi	2006	automatic	150	signum	125000	7	diesel	opel	No
1154	849	cabrio	1995	manual	75	golf	150000	0	petrol	volkswagen	not-declared
1155	2300	kleinwagen	2002	manual	75	a2	150000	4	petrol	audi	No
1156	9200	limousine	2005	automatic	249	not-declared	150000	10	petrol	sonstige_autos	No
1157	1700	kleinwagen	2000	manual	75	golf	150000	9	not-declared	volkswagen	not-declared
1158	11500	coupe	2001	manual	179	golf	100000	8	petrol	volkswagen	No
1159	1700	limousine	1999	manual	116	octavia	150000	8	petrol	skoda	No
1160	12990	cabrio	2007	manual	218	crossfire	70000	12	petrol	chrysler	No
1161	5799	kleinwagen	2009	manual	75	polo	150000	9	diesel	volkswagen	No
1162	4000	kombi	2003	manual	150	3er	150000	6	diesel	bmw	No
1163	500	kleinwagen	2002	manual	60	ka	150000	7	petrol	ford	No
1165	1850	kleinwagen	2004	manual	65	fiesta	150000	5	diesel	ford	No
1168	950	kleinwagen	1999	manual	60	polo	150000	3	petrol	volkswagen	No
1169	4600	kombi	2005	manual	140	passat	150000	12	diesel	volkswagen	not-declared
1170	6900	limousine	1988	manual	105	e_klasse	150000	6	petrol	mercedes_benz	No
1171	3950	cabrio	2005	manual	73	c3	70000	1	petrol	citroen	No
1173	12900	limousine	1997	manual	237	3er	150000	4	petrol	bmw	No
1175	1799	limousine	1998	manual	101	vectra	150000	12	petrol	opel	No
1176	8500	kleinwagen	2012	manual	105	fabia	80000	7	petrol	skoda	No
1177	1399	kombi	1999	automatic	90	passat	150000	9	diesel	volkswagen	No
1179	1000	kombi	2005	manual	109	3_reihe	150000	6	diesel	peugeot	Yes
1180	5500	cabrio	2009	automatic	71	fortwo	80000	5	petrol	smart	No
1181	5400	kleinwagen	2011	manual	68	andere	30000	3	petrol	suzuki	No
1182	7350	coupe	2003	automatic	170	clk	150000	1	diesel	mercedes_benz	No
1184	15990	limousine	1988	automatic	224	s_klasse	100000	3	petrol	mercedes_benz	not-declared
1186	7999	limousine	2004	manual	200	3er	150000	9	diesel	bmw	No
1188	5699	kombi	2004	automatic	250	a6	150000	6	petrol	audi	not-declared
1189	800	kleinwagen	2002	manual	60	lupo	150000	11	diesel	volkswagen	not-declared
1191	24400	coupe	2006	manual	295	andere	150000	2	petrol	porsche	No
1193	2590	limousine	2004	manual	116	a_klasse	150000	11	petrol	mercedes_benz	No
1195	5400	coupe	1992	automatic	179	andere	150000	3	petrol	mercedes_benz	No
1196	3800	not-declared	2005	manual	90	astra	150000	0	petrol	opel	not-declared
1197	6600	limousine	2007	automatic	109	a_klasse	125000	2	diesel	mercedes_benz	No
1198	1000	kleinwagen	2003	manual	58	agila	150000	9	petrol	opel	No
1199	3000	not-declared	2016	manual	140	touran	150000	12	not-declared	volkswagen	not-declared
1200	2400	kleinwagen	1999	automatic	101	golf	150000	6	petrol	volkswagen	No
1201	9999	suv	2014	manual	105	duster	30000	7	petrol	dacia	No
1202	1700	limousine	2004	manual	115	focus	150000	6	diesel	ford	not-declared
1203	5100	bus	2010	manual	120	andere	150000	10	diesel	citroen	No
1204	15000	kombi	2012	automatic	245	a6	70000	5	diesel	audi	No
1205	5400	cabrio	2006	manual	140	3_reihe	150000	3	petrol	peugeot	No
1206	1650	kombi	1997	manual	116	3er	150000	1	petrol	bmw	No
1207	700	kombi	2003	manual	103	stilo	150000	1	petrol	fiat	No
1208	1995	bus	2003	manual	101	zafira	150000	7	petrol	opel	No
1209	750	limousine	1997	manual	136	vectra	150000	4	petrol	opel	No
1210	3200	cabrio	2006	manual	95	ka	90000	3	petrol	ford	No
1211	120	not-declared	2016	manual	60	punto	150000	0	petrol	fiat	not-declared
1212	1800	limousine	1995	manual	101	a4	150000	3	petrol	audi	No
1213	7450	cabrio	2003	manual	143	3er	150000	4	petrol	bmw	No
1215	16400	limousine	2007	manual	150	x_reihe	125000	3	diesel	bmw	No
1216	17700	limousine	2011	automatic	170	e_klasse	150000	6	diesel	mercedes_benz	No
1217	2400	limousine	2001	automatic	129	c_klasse	150000	1	petrol	mercedes_benz	No
1218	490	kombi	2000	manual	116	mondeo	150000	5	petrol	ford	Yes
1219	700	coupe	2000	manual	116	astra	150000	11	petrol	opel	not-declared
1221	550	kleinwagen	1998	manual	60	corsa	150000	0	petrol	opel	No
1222	3800	limousine	2003	manual	80	astra	125000	7	diesel	opel	No
1223	1799	bus	2003	manual	82	kangoo	150000	10	diesel	renault	No
1225	1650	limousine	1998	manual	125	golf	150000	4	not-declared	volkswagen	not-declared
1226	1890	limousine	1997	manual	150	5er	150000	0	petrol	bmw	No
1227	1000	kleinwagen	2001	manual	56	cuore	125000	0	petrol	daihatsu	not-declared
1229	600	kleinwagen	1993	manual	54	clio	80000	4	petrol	renault	No
1230	1900	kombi	2005	manual	177	avensis	150000	5	diesel	toyota	Yes
1231	600	not-declared	2016	manual	60	golf	150000	11	not-declared	volkswagen	not-declared
1232	16960	suv	2013	manual	122	tiguan	30000	6	petrol	volkswagen	No
1233	250	not-declared	1997	automatic	60	corsa	150000	6	petrol	opel	No
1234	6250	kombi	2007	manual	102	caddy	150000	8	petrol	volkswagen	No
1235	26500	suv	2011	automatic	231	glk	70000	10	diesel	mercedes_benz	No
1236	7900	bus	2007	manual	150	zafira	150000	6	diesel	opel	not-declared
1238	5300	suv	2004	automatic	194	sorento	150000	4	petrol	kia	No
1239	7500	limousine	2010	manual	111	c4	80000	11	diesel	citroen	No
1240	14400	coupe	2008	automatic	299	passat	125000	8	petrol	volkswagen	No
1241	2100	kleinwagen	2000	manual	105	golf	150000	10	petrol	volkswagen	No
1242	400	limousine	1998	manual	101	not-declared	150000	3	petrol	opel	not-declared
1243	249	kleinwagen	1998	manual	75	andere	150000	9	petrol	rover	Yes
1246	7150	kombi	2007	manual	116	forester	125000	7	lpg	subaru	No
1247	20900	kombi	2014	manual	110	a3	20000	11	petrol	audi	No
1249	5800	limousine	2000	automatic	326	7er	150000	3	petrol	bmw	Yes
1250	5500	kombi	2002	manual	150	3er	150000	5	diesel	bmw	No
1251	11990	limousine	2006	automatic	224	e_klasse	150000	12	diesel	mercedes_benz	not-declared
1252	25345	coupe	1967	manual	54	andere	125000	12	petrol	volkswagen	No
1253	4950	kleinwagen	2007	manual	80	polo	100000	12	petrol	volkswagen	No
1254	17800	bus	2016	manual	99	andere	5000	1	diesel	peugeot	No
1255	888	kleinwagen	2005	manual	60	not-declared	150000	0	petrol	hyundai	Yes
1257	10900	limousine	2008	manual	160	a4	100000	5	petrol	audi	No
1260	12500	limousine	2007	manual	140	golf	150000	8	diesel	volkswagen	No
1261	1650	limousine	1998	manual	125	not-declared	150000	11	not-declared	mercedes_benz	No
1262	13000	limousine	2008	automatic	177	5er	125000	10	diesel	bmw	No
1263	7900	limousine	1980	automatic	194	e_klasse	125000	9	petrol	mercedes_benz	No
1264	2200	limousine	2000	automatic	101	golf	150000	9	petrol	volkswagen	No
1267	3300	kombi	2003	manual	170	c_klasse	150000	4	lpg	mercedes_benz	No
1268	2500	limousine	2003	manual	101	golf	150000	10	diesel	volkswagen	No
1270	6300	limousine	2005	manual	179	a6	150000	10	diesel	audi	No
1271	10000	limousine	2012	manual	177	a4	150000	3	diesel	audi	No
1272	950	limousine	1998	manual	90	golf	150000	2	diesel	volkswagen	not-declared
1273	9000	suv	2003	automatic	163	grand	90000	9	diesel	jeep	No
1275	1390	limousine	1998	manual	75	colt	150000	3	petrol	mitsubishi	No
1276	4200	kombi	2006	manual	136	v50	150000	12	diesel	volvo	No
1277	9299	kleinwagen	2011	manual	105	fabia	50000	9	petrol	skoda	No
1278	6399	cabrio	2003	manual	110	mx_reihe	80000	4	petrol	mazda	No
1279	8500	limousine	2000	manual	193	a8	150000	4	petrol	audi	No
1280	1900	limousine	2003	manual	145	mondeo	150000	8	petrol	ford	No
1281	5600	kleinwagen	2009	manual	60	fiesta	80000	3	petrol	ford	No
1282	3300	cabrio	2003	manual	61	fortwo	100000	1	petrol	smart	No
1284	51000	kombi	2015	automatic	258	5er	5000	3	diesel	bmw	No
1285	3000	limousine	2001	manual	85	astra	90000	7	petrol	opel	No
1286	2100	kombi	1999	automatic	279	e_klasse	150000	1	petrol	mercedes_benz	No
1287	6299	kleinwagen	2012	manual	60	up	50000	11	petrol	volkswagen	No
1288	18500	kombi	2014	manual	140	passat	50000	4	diesel	volkswagen	No
1289	1300	kombi	2002	manual	95	kangoo	150000	9	petrol	renault	Yes
1293	7777	bus	2007	manual	140	sharan	150000	5	diesel	volkswagen	No
1294	2000	bus	2003	manual	87	meriva	150000	11	petrol	opel	No
1295	4200	limousine	2004	manual	125	astra	125000	11	petrol	opel	not-declared
1296	2800	suv	2002	manual	138	scenic	150000	8	petrol	renault	not-declared
1297	10999	limousine	2006	automatic	177	5er	30000	3	petrol	bmw	No
1298	1999	kombi	1991	automatic	179	e_klasse	150000	6	petrol	mercedes_benz	Yes
1299	3999	kombi	2005	manual	136	passat	150000	7	diesel	volkswagen	No
1300	6490	kombi	2010	automatic	110	focus	125000	8	diesel	ford	No
1301	4490	coupe	1984	automatic	310	andere	150000	4	petrol	porsche	No
1304	50950	suv	2014	automatic	256	discovery	20000	3	diesel	land_rover	No
1305	7299	bus	2008	manual	175	s_max	150000	11	diesel	ford	No
1306	5500	limousine	1980	manual	96	andere	60000	1	petrol	ford	No
1307	1500	limousine	1998	manual	116	andere	150000	6	petrol	volvo	No
1310	1199	limousine	1995	automatic	326	7er	150000	1	petrol	bmw	No
1311	6199	limousine	2008	manual	122	golf	150000	4	petrol	volkswagen	No
1312	4900	bus	2004	manual	105	touran	150000	10	diesel	volkswagen	Yes
1313	4000	kleinwagen	2008	manual	73	c3	90000	10	petrol	citroen	No
1314	3050	bus	2006	manual	114	andere	150000	12	diesel	renault	No
1315	8350	limousine	2010	manual	110	astra	100000	5	diesel	opel	not-declared
1316	450	limousine	1997	manual	103	andere	150000	11	petrol	fiat	Yes
1317	1400	limousine	2000	automatic	116	astra	150000	3	petrol	opel	No
1318	12400	cabrio	2008	manual	136	c_reihe	150000	5	diesel	volvo	No
1319	8900	kombi	2008	manual	170	3er	90000	7	petrol	bmw	No
1320	12900	kombi	2006	manual	231	3er	150000	7	not-declared	bmw	not-declared


